author_name,link_auth_prof,title,url
Victoria Song,https://www.theverge.com/authors/victoria-song,Bellabeat Ivy review: wellness in a pretty package,https://www.theverge.com/23612567/bellabeat-ivy-review-reproductive-health-tracker-wearables
"Brandon Widder,Alice Newcome-Beill",https://www.theverge.com/authors/brandon-widder,Here’s where you can buy a PS5,https://www.theverge.com/22323257/sony-playstation-5-ps5-in-stock-digital-disk-edition-where-buy
Allison Johnson,https://www.theverge.com/authors/allison-johnson,The best phone to buy right now,https://www.theverge.com/22163811/best-phone
Victoria Song,https://www.theverge.com/authors/victoria-song,Apple Watch Series 8 review: if it ain’t broke,https://www.theverge.com/23353756/apple-watch-series-8-review-smartwatch-wearables
Victoria Song,https://www.theverge.com/authors/victoria-song,Nowatch review: a chic stress tracker for the Goop faithful,https://www.theverge.com/23588481/nowatch-review-wearable-stress-tracking
Victoria Song,https://www.theverge.com/authors/victoria-song,Apollo Neuro review: a case study in the wellness Wild West,https://www.theverge.com/23552577/apollo-neuro-review-stress-wearable
Victoria Song,https://www.theverge.com/authors/victoria-song,Only athletes should give a whoop about Whoop,https://www.theverge.com/22957195/whoop-review-fitness-tracker-wearables
Thomas Ricker,https://www.theverge.com/authors/thomas-ricker,Ampler Axel e-bike review: this is the way,https://www.theverge.com/23611678/ampler-electric-bike-review-sporty-commuter-europe
Victoria Song,https://www.theverge.com/authors/victoria-song,Amazon Halo View review: the Fitbit clone no one asked for,https://www.theverge.com/22834452/amazon-halo-view-review-fitness-trackers
Victoria Song,https://www.theverge.com/authors/victoria-song,Oura Ring Generation 3 review: a relationship for the long term,https://www.theverge.com/22789248/oura-ring-3-review-sleep-tracker-fitness-tracker
Nilay Patel,https://www.theverge.com/authors/nilay-patel,Apple iPhone 14 Pro review: early adopter island,https://www.theverge.com/23351948/apple-iphone-14-pro-review
Allison Johnson,https://www.theverge.com/authors/allison-johnson,Apple iPhone 14 review: meet the iPhone 13S,https://www.theverge.com/23352282/iphone-14-review-apple
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,Sony’s DualSense Edge is a pro controller done (mostly) right,https://www.theverge.com/23564531/sony-dualsense-edge-wireless-controller-ps5-features-review
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,9 great games for your PlayStation from 2022,https://www.theverge.com/23494185/playstation-ps5-ps4-games-best-2022-roundup
Dieter Bohn,https://www.theverge.com/authors/dieter-bohn,"iPhone 13 review: yep, bigger batteries are better",https://www.theverge.com/22684421/apple-iphone-13-mini-review
Allison Johnson,https://www.theverge.com/authors/allison-johnson,Samsung Galaxy S23 Ultra review: practically peerless,https://www.theverge.com/23598871/samsung-galaxy-s23-ultra-review-camera-battery-screen-s-pen
Allison Johnson,https://www.theverge.com/authors/allison-johnson,The Galaxy Z Flip 4 is my favorite camera to shoot with right now,https://www.theverge.com/23311786/samsung-galaxy-z-flip-4-camera-flex-mode-selfie-quick-shot
Allison Johnson,https://www.theverge.com/authors/allison-johnson,OnePlus 11 5G review: a great phone that’s a tough sell,https://www.theverge.com/23587883/oneplus-11-5g-review-screen-battery-camera-price
Dan Seifert,https://www.theverge.com/authors/dan-seifert,Microsoft’s weird Surface Duo 2 has surprisingly become my favorite device of the year,https://www.theverge.com/23171638/microsoft-surface-duo-2-dual-screen-revisit-updates-price
